task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
1	5e/562452	integrity_coverage_1_1	SRR1027077	COMPLETED	0	2018-11-01 09:39:47.784	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	42.3s	36.1s	-	98,6%	0,1%	11 MB	379 MB	1414 MB	62 KB
2	d6/7841d8	integrity_coverage_1_1	SRR1027078	COMPLETED	0	2018-11-01 09:39:47.685	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	42.5s	36.5s	-	98,0%	0,1%	109 MB	38 MB	1399 MB	64 KB
5	1d/f98598	report	SRR1027077	COMPLETED	0	2018-11-01 09:40:30.218	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.5s	83ms	-	0,0%	0,0%	27 MB	176 MB	0	16 B
3	99/4a71d0	status	SRR1027077	COMPLETED	0	2018-11-01 09:40:30.216	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.6s	21ms	-	0,0%	0,0%	0	0	0	0
7	da/d5b620	status	SRR1027078	COMPLETED	0	2018-11-01 09:40:31.834	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	2s	30ms	-	0,0%	0,0%	0	0	0	0
8	41/65b975	report_coverage_1_1	-	COMPLETED	0	2018-11-01 09:40:31.879	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	2.1s	15ms	-	0,0%	0,0%	0	0	0	0
9	50/84a055	report	SRR1027078	COMPLETED	0	2018-11-01 09:40:33.765	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.9s	80ms	-	0,0%	0,0%	27 MB	176 MB	77 KB	0
6	14/83fe7e	fastqc_1_2	SRR1027078	COMPLETED	0	2018-11-01 09:40:30.316	flowcraft/fastqc:0.11.7-1	2	-	-	4 GB	23.4s	19.9s	-	169,6%	2,2%	3439 MB	29 GB	1541 MB	7528 KB
11	47/ff741f	status	SRR1027078	COMPLETED	0	2018-11-01 09:40:53.810	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.6s	13ms	-	0,0%	0,0%	0	0	0	0
10	56/1c5a20	fastqc_report_1_2	SRR1027078	COMPLETED	0	2018-11-01 09:40:53.809	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.7s	72ms	-	0,0%	0,0%	12 MB	48 MB	87 KB	0
12	91/02e3c8	report	SRR1027078	COMPLETED	0	2018-11-01 09:40:55.626	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.3s	86ms	-	0,0%	0,0%	27 MB	176 MB	77 KB	0
13	e5/a1ec73	status	SRR1027078	COMPLETED	0	2018-11-01 09:40:55.728	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.3s	15ms	-	0,0%	0,0%	0	0	0	0
